,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
17,jppfs_cor:LeaseholdRight,借地権,Leasehold right,Leasehold right
18,jppfs_cor:MiningRight,鉱業権,Mining right,Mining right
19,jppfs_cor:Goodwill,のれん,Goodwill,Goodwill
20,jppfs_cor:OtherIA,その他、無形固定資産,Other,Other-IA
21,jppfs_cor:IntangibleAssets,無形固定資産,Intangible assets,Intangible assets
22,jppfs_cor:InvestmentsAndOtherAssetsAbstract,投資その他の資産 [タイトル項目],Investments and other assets,Investments and other assets [abstract]
23,jppfs_cor:InvestmentSecurities,投資有価証券,Investment securities,Investment securities
24,jppfs_cor:InvestmentsInSubsidiariesAndAffiliatesIOAGAS,関係会社投資、投資その他の資産、ガス事業,Investments in subsidiaries and associates,Investments in subsidiaries and associates-IOA-GAS
25,jppfs_cor:StocksOfParentCompanyIOA,親会社株式、投資その他の資産,Shares of parent,Shares of parent-IOA
26,jppfs_cor:LongTermLoansReceivable,長期貸付金,Long-term loans receivable,Long-term loans receivable
27,jppfs_cor:InHouseLongTermLoansReceivableIOAGAS,社内長期貸付金、投資その他の資産、ガス事業,In-house long-term loans receivable,In-house long-term loans receivable-IOA-GAS
28,jppfs_cor:LongTermLoansReceivableFromSubsidiariesAndAffiliates,関係会社長期貸付金,Long-term loans receivable from subsidiaries and associates,Long-term loans receivable from subsidiaries and associates
29,jppfs_cor:InvestmentsInCapital,出資金,Investments in capital,Investments in capital
30,jppfs_cor:SinkingFundIOAGAS,減債基金、投資その他の資産、ガス事業,Sinking fund,Sinking fund-IOA-GAS
31,jppfs_cor:LongTermPrepaidExpenses,長期前払費用,Long-term prepaid expenses,Long-term prepaid expenses
32,jppfs_cor:PrepaidPensionCostIOA,前払年金費用、投資その他の資産,Prepaid pension cost,Prepaid pension cost-IOA
33,jppfs_cor:DeferredTaxAssetsIOA,繰延税金資産、投資その他の資産,Deferred tax assets,Deferred tax assets-IOA
34,jppfs_cor:OtherIOA,その他、投資その他の資産,Other,Other-IOA
35,jppfs_cor:AllowanceForDoubtfulAccountsIOAByGroup,貸倒引当金、投資その他の資産、一括控除,Allowance for doubtful accounts,Allowance for doubtful accounts-IOA-by group
36,jppfs_cor:InvestmentsAndOtherAssets,投資その他の資産,Investments and other assets,Investments and other assets
37,jppfs_cor:NoncurrentAssets,固定資産,Non-current assets,Non-current assets
38,jppfs_cor:CurrentAssetsAbstract,流動資産 [タイトル項目],Current assets,Current assets [abstract]
39,jppfs_cor:CashAndDeposits,現金及び預金,Cash and deposits,Cash and deposits
40,jppfs_cor:NotesAndAccountsReceivableTrade,受取手形及び売掛金,Notes and accounts receivable - trade,Notes and accounts receivable-trade
41,jppfs_cor:NotesReceivableTrade,受取手形,Notes receivable - trade,Notes receivable-trade
42,jppfs_cor:NotesReceivableFromSubsidiariesAndAffiliatesTradeCAGAS,関係会社受取手形、流動資産、ガス事業,Notes receivable from subsidiaries and associates - trade,Notes receivable from subsidiaries and associates - trade-CA-GAS
43,jppfs_cor:AccountsReceivableTrade,売掛金,Accounts receivable - trade,Accounts receivable-trade
44,jppfs_cor:AccountsReceivableFromSubsidiariesAndAffiliatesTradeCAGAS,関係会社売掛金、流動資産、ガス事業,Accounts receivable from subsidiaries and associates - trade,Accounts receivable from subsidiaries and associates - trade-CA-GAS
45,jppfs_cor:AccountsReceivableOther,未収入金,Accounts receivable - other,Accounts receivable-other
46,jppfs_cor:ShortTermInvestmentSecurities,有価証券,Securities,Securities
47,jppfs_cor:Inventories,たな卸資産,Inventories,Inventories
48,jppfs_cor:MerchandiseAndFinishedGoods,商品及び製品,Merchandise and finished goods,Merchandise and finished goods
49,jppfs_cor:FinishedGoods,製品,Finished goods,Finished goods
50,jppfs_cor:WorkInProcess,仕掛品,Work in process,Work in process
51,jppfs_cor:RawMaterialsAndSupplies,原材料及び貯蔵品,Raw materials and supplies,Raw materials and supplies
52,jppfs_cor:RawMaterialsCAGAS,原料、流動資産、ガス事業,Raw materials,Raw materials-CA-GAS
53,jppfs_cor:Supplies,貯蔵品,Supplies,Supplies
54,jppfs_cor:AdvancePaymentsCAGAS,前払金、流動資産、ガス事業,Advance payments,Advance payments-CA-GAS
55,jppfs_cor:PrepaidExpenses,前払費用,Prepaid expenses,Prepaid expenses
56,jppfs_cor:ShortTermReceivablesFromSubsidiariesAndAffiliatesCAGAS,関係会社短期債権、流動資産、ガス事業,Short-term receivables from subsidiaries and associates,Short-term receivables from subsidiaries and associates-CA-GAS
57,jppfs_cor:StocksOfParentCompanyCA,親会社株式、流動資産,Shares of parent,Shares of parent-CA
58,jppfs_cor:DeferredTaxAssetsCA,繰延税金資産、流動資産,Deferred tax assets,Deferred tax assets-CA
59,jppfs_cor:CurrentAssetsForIncidentalBusinessesCAGAS,附帯事業流動資産、流動資産、ガス事業,Current assets for incidental businesses,Current assets for incidental businesses-CA-GAS
60,jppfs_cor:RelatedConstructionGAS,受注工事勘定、ガス事業,Related construction,Related construction-GAS
61,jppfs_cor:OtherCA,その他、流動資産,Other,Other-CA
62,jppfs_cor:AllowanceForDoubtfulAccountsCA,貸倒引当金、流動資産、一括控除,Allowance for doubtful accounts,Allowance for doubtful accounts-CA-by group
63,jppfs_cor:CurrentAssets,流動資産,Current assets,Current assets
64,jppfs_cor:DeferredAssetsAbstract,繰延資産 [タイトル項目],Deferred assets,Deferred assets [abstract]
65,jppfs_cor:DeferredOrganizationExpensesDA,創立費、繰延資産,Deferred organization expenses,Deferred organization expenses-DA
66,jppfs_cor:BusinessCommencementExpensesDA,開業費、繰延資産,Business commencement expenses,Business commencement expenses-DA
67,jppfs_cor:StockIssuanceCostDA,株式交付費、繰延資産,Share issuance cost,Share issuance cost-DA
68,jppfs_cor:BondIssuanceCostDA,社債発行費、繰延資産,Bond issuance cost,Bond issuance cost-DA
69,jppfs_cor:CorporateBondIssuanceCostDAGAS,企業債発行費、繰延資産、ガス事業,Corporate bond issuance cost,Corporate bond issuance cost-DA-GAS
70,jppfs_cor:CorporateBondDiscountDAGAS,企業債発行差金、繰延資産、ガス事業,Corporate bond discount,Corporate bond discount-DA-GAS
71,jppfs_cor:DevelopmentExpensesDA,開発費、繰延資産,Development expenses,Development expenses-DA
72,jppfs_cor:NonrecurringLossDAGAS,臨時損失、繰延資産、ガス事業,Nonrecurring loss,Nonrecurring loss-DA-GAS
73,jppfs_cor:DeferredAssets,繰延資産,Deferred assets,Deferred assets
74,jppfs_cor:Assets,資産,Assets,Assets
75,jppfs_cor:LiabilitiesAbstract,負債の部 [タイトル項目],Liabilities,Liabilities [abstract]
76,jppfs_cor:NoncurrentLiabilitiesAbstract,固定負債 [タイトル項目],Non-current liabilities,Non-current liabilities [abstract]
77,jppfs_cor:BondsPayable,社債,Bonds payable,Bonds payable
78,jppfs_cor:CorporateBondsNCLGAS,企業債、固定負債、ガス事業,Corporate bonds,Corporate bonds-NCL-GAS
79,jppfs_cor:LongTermLoansPayable,長期借入金,Long-term loans payable,Long-term loans payable
80,jppfs_cor:LongTermDebtToSubsidiariesAndAffiliatesNCLGAS,関係会社長期債務、固定負債、ガス事業,Long-term debt to subsidiaries and associates,Long-term debt to subsidiaries and associates-NCL-GAS
81,jppfs_cor:TransferFromOtherAccountNCLGAS,他会計からの繰入金、固定負債、ガス事業,Transfer from other account,Transfer from other account-NCL-GAS
82,jppfs_cor:DeferredTaxLiabilitiesNCL,繰延税金負債、固定負債,Deferred tax liabilities,Deferred tax liabilities-NCL
83,jppfs_cor:ProvisionForRetirementBenefits,退職給付引当金,Provision for retirement benefits,Provision for retirement benefits
84,jppfs_cor:AssetRetirementObligationsNCL,資産除去債務、固定負債,Asset retirement obligations,Asset retirement obligations-NCL
85,jppfs_cor:NegativeGoodwill,負ののれん,Negative goodwill,Negative goodwill
86,jppfs_cor:ProvisionForGasHolderRepairsGAS,ガスホルダー修繕引当金、ガス事業,Provision for gas holder repairs,Provision for gas holder repairs-GAS
87,jppfs_cor:ProvisionForSafetyMeasuresGAS,保安対策引当金、ガス事業,Provision for safety measures,Provision for safety measures-GAS
88,jppfs_cor:OtherNCL,その他、固定負債,Other,Other-NCL
89,jppfs_cor:NoncurrentLiabilities,固定負債,Non-current liabilities,Non-current liabilities
90,jppfs_cor:CurrentLiabilitiesAbstract,流動負債 [タイトル項目],Current liabilities,Current liabilities [abstract]
91,jppfs_cor:CurrentPortionOfNoncurrentLiabilitiesCLGAS,1年以内に期限到来の固定負債、流動負債、ガス事業,Current portion of non-current liabilities,Current portion of non-current liabilities-CL-GAS
92,jppfs_cor:NotesAndAccountsPayableTrade,支払手形及び買掛金,Notes and accounts payable - trade,Notes and accounts payable-trade
93,jppfs_cor:NotesPayableTrade,支払手形,Notes payable - trade,Notes payable-trade
94,jppfs_cor:AccountsPayableTrade,買掛金,Accounts payable - trade,Accounts payable-trade
95,jppfs_cor:ShortTermLoansPayable,短期借入金,Short-term loans payable,Short-term loans payable
96,jppfs_cor:AccountsPayableOther,未払金,Accounts payable - other,Accounts payable-other
97,jppfs_cor:AccruedExpenses,未払費用,Accrued expenses,Accrued expenses
98,jppfs_cor:IncomeTaxesPayable,未払法人税等,Income taxes payable,Income taxes payable
99,jppfs_cor:DeferredTaxLiabilitiesCL,繰延税金負債、流動負債,Deferred tax liabilities,Deferred tax liabilities-CL
100,jppfs_cor:AdvancesReceived,前受金,Advances received,Advances received
101,jppfs_cor:DepositsReceived,預り金,Deposits received,Deposits received
102,jppfs_cor:ShortTermDebtToSubsidiariesAndAffiliatesCLGAS,関係会社短期債務、流動負債、ガス事業,Short-term debt to subsidiaries and associates,Short-term debt to subsidiaries and associates-CL-GAS
103,jppfs_cor:AssetRetirementObligationsCL,資産除去債務、流動負債,Asset retirement obligations,Asset retirement obligations-CL
104,jppfs_cor:CurrentLiabilitiesForIncidentalBusinessesCLGAS,附帯事業流動負債、流動負債、ガス事業,Current liabilities for incidental businesses,Current liabilities for incidental businesses-CL-GAS
105,jppfs_cor:OtherCL,その他、流動負債,Other,Other-CL
106,jppfs_cor:CurrentLiabilities,流動負債,Current liabilities,Current liabilities
107,jppfs_cor:ReservesUnderTheSpecialLawsAbstract2,特別法上の引当金 [タイトル項目],Reserves under special laws,Reserves under special laws-2 [abstract]
108,jppfs_cor:ReservesUnderTheSpecialLaws2,特別法上の引当金,Reserves under special laws,Reserves under special laws-2
109,jppfs_cor:Liabilities,負債,Liabilities,Liabilities
110,jppfs_cor:NetAssetsAbstract,純資産の部 [タイトル項目],Net assets,Net assets [abstract]
111,jppfs_cor:ShareholdersEquityAbstract,株主資本 [タイトル項目],Shareholders' equity,Shareholders' equity [abstract]
112,jppfs_cor:CapitalStock,資本金,Capital stock,Capital stock
113,jppfs_cor:DepositForSubscriptionsToShares,新株式申込証拠金,Deposit for subscriptions to shares,Deposit for subscriptions to shares
114,jppfs_cor:CapitalSurplusAbstract,資本剰余金 [タイトル項目],Capital surplus,Capital surplus [abstract]
115,jppfs_cor:LegalCapitalSurplus,資本準備金,Legal capital surplus,Legal capital surplus
116,jppfs_cor:OtherCapitalSurplus,その他資本剰余金,Other capital surplus,Other capital surplus
117,jppfs_cor:CapitalSurplus,資本剰余金,Capital surplus,Capital surplus
118,jppfs_cor:RetainedEarningsAbstract,利益剰余金 [タイトル項目],Retained earnings,Retained earnings [abstract]
119,jppfs_cor:LegalRetainedEarnings,利益準備金,Legal retained earnings,Legal retained earnings
120,jppfs_cor:OtherRetainedEarningsAbstract,その他利益剰余金 [タイトル項目],Other retained earnings,Other retained earnings [abstract]
121,jppfs_cor:ReserveForAdjustmentOfCostFluctuationsGAS,原価変動調整積立金、ガス事業,Reserve for adjustment of cost fluctuations,Reserve for adjustment of cost fluctuations-GAS
122,jppfs_cor:ReserveForDepreciationOfSpecifiedGasPipelineConstructionGAS,特定ガス導管工事償却準備金、ガス事業,Reserve for depreciation of specified gas pipeline construction,Reserve for depreciation of specified gas pipeline construction-GAS
123,jppfs_cor:RetainedEarningsBroughtForward,繰越利益剰余金,Retained earnings brought forward,Retained earnings brought forward
124,jppfs_cor:RetainedEarnings,利益剰余金,Retained earnings,Retained earnings
125,jppfs_cor:TreasuryStock,自己株式,Treasury shares,Treasury shares
126,jppfs_cor:DepositForSubscriptionsToTreasuryStock,自己株式申込証拠金,Deposit for subscriptions to treasury shares,Deposit for subscriptions to treasury shares
127,jppfs_cor:ShareholdersEquity,株主資本,Shareholders' equity,Shareholders' equity
128,jppfs_cor:ValuationAndTranslationAdjustmentsAbstract,評価・換算差額等 [タイトル項目],Valuation and translation adjustments,Valuation and translation adjustments [abstract]
129,jppfs_cor:ValuationDifferenceOnAvailableForSaleSecurities,その他有価証券評価差額金,Valuation difference on available-for-sale securities,Valuation difference on available-for-sale securities
130,jppfs_cor:DeferredGainsOrLossesOnHedges,繰延ヘッジ損益,Deferred gains or losses on hedges,Deferred gains or losses on hedges
131,jppfs_cor:RevaluationReserveForLand,土地再評価差額金,Revaluation reserve for land,Revaluation reserve for land
132,jppfs_cor:ForeignCurrencyTranslationAdjustment,為替換算調整勘定,Foreign currency translation adjustment,Foreign currency translation adjustment
133,jppfs_cor:ValuationAndTranslationAdjustments,評価・換算差額等,Valuation and translation adjustments,Valuation and translation adjustments
134,jppfs_cor:SubscriptionRightsToShares,新株予約権,Share acquisition rights,Share acquisition rights
135,jppfs_cor:NonControllingInterests,非支配株主持分,Non-controlling interests,Non-controlling interests
136,jppfs_cor:NetAssets,純資産,Net assets,Net assets
137,jppfs_cor:LiabilitiesAndNetAssets,負債純資産,Liabilities and net assets,Liabilities and net assets
138,nan,,,
139,nan,,,
140,名前空間プレフィックス:要素名,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
141,jppfs_cor:StatementOfIncomeAbstract,損益計算書 [タイトル項目],Statement of income,Statement of income [abstract]
142,jppfs_cor:StatementOfIncomeTable,損益計算書 [表],Statement of income,Statement of income [table]
143,jppfs_cor:StatementOfIncomeLineItems,損益計算書 [表示項目],Statement of income,Statement of income [line items]
144,jppfs_cor:NetSales,売上高,Net sales,Net sales
145,jppfs_cor:InstallationWorkAndAppliancesSalesGAS,受注工事及び器具売上、ガス事業,Installation work and appliances sales,Installation work and appliances sales-GAS
146,jppfs_cor:IncidentalBusinessesSalesGAS,附帯事業売上、ガス事業,Incidental businesses sales,Incidental businesses sales-GAS
147,jppfs_cor:SalesFromGasBusinessGASAbstract,ガス事業売上高、ガス事業 [タイトル項目],Sales from gas business,Sales from gas business - GAS [abstract]
148,jppfs_cor:GasSalesGAS,ガス売上、ガス事業,Gas sales,Gas sales-GAS
149,jppfs_cor:ThirdPartyAccessRevenueGAS,託送供給収益、ガス事業,Gas transportation service revenue,Gas transportation service revenue - GAS
150,jppfs_cor:RevenueFromInteroperatorSettlementGAS,事業者間精算収益、ガス事業,Revenue from interoperator settlement,Revenue from interoperator settlement - GAS
151,jppfs_cor:RevenueFromContractManufacturingGAS,受託製造収益、ガス事業,Revenue from contract manufacturing,Revenue from contract manufacturing - GAS
152,jppfs_cor:SalesFromGasBusinessGAS,ガス事業売上高、ガス事業,Sales from gas business,Sales from gas business - GAS
153,jppfs_cor:ProductSalesAbstractGAS,製品売上、ガス事業 [タイトル項目],Product sales,Product sales-GAS [abstract]
154,jppfs_cor:ProductSalesGAS,製品売上、ガス事業,Product sales,Product sales-GAS
155,jppfs_cor:CostOfSalesAbstract,売上原価 [タイトル項目],Cost of sales,Cost of sales [abstract]
156,jppfs_cor:BeginningInventoriesGAS,期首たな卸高、ガス事業,Beginning inventories,Beginning inventories-GAS
157,jppfs_cor:CostOfProductsManufactured,当期製品製造原価,Cost of products manufactured,Cost of products manufactured
158,jppfs_cor:PurchaseOfFinishedGoodsGAS,当期製品仕入高、ガス事業,Purchase of finished goods,Purchase of finished goods-GAS
159,jppfs_cor:CostsOfGasForOwnUseGAS,当期製品自家使用高、ガス事業,Costs of gas for own use,Costs of gas for own use-GAS
160,jppfs_cor:EndingInventoriesGAS,期末たな卸高、ガス事業,Ending inventories,Ending inventories-GAS
161,jppfs_cor:CostOfSales,売上原価,Cost of sales,Cost of sales
162,jppfs_cor:CostOfGasSalesGAS,ガス売上原価、ガス事業,Cost of gas sales,Cost of gas sales-GAS
163,jppfs_cor:CostOfInstallationWorkAndAppliancesSalesGAS,受注工事及び器具売上原価、ガス事業,Cost of installation work and appliances sales,Cost of installation work and appliances sales-GAS
164,jppfs_cor:CostOfSalesOnIncidentalBusinessGAS,附帯事業売上原価、ガス事業,Cost of sales on incidental business,Cost of sales on incidental business-GAS
165,jppfs_cor:GrossProfit,売上総利益又は売上総損失（△）,Gross profit (loss),Gross profit (loss)
166,jppfs_cor:SellingGeneralAndAdministrativeExpensesAbstractGAS,供給販売費及び一般管理費、ガス事業 [タイトル項目],"Selling, general and administrative expenses","Selling, general and administrative expenses-GAS [abstract]"
167,jppfs_cor:SupplyAndSalesExpensesGAS,供給販売費、ガス事業,Supply and sales expenses,Supply and sales expenses-GAS
168,jppfs_cor:GeneralAndAdministrativeExpensesGAS,一般管理費、ガス事業,General and administrative expenses,General and administrative expenses-GAS
169,jppfs_cor:SellingGeneralAndAdministrativeExpensesGAS,供給販売費及び一般管理費、ガス事業,"Selling, general and administrative expenses","Selling, general and administrative expenses-GAS"
170,jppfs_cor:IncomeOnCoreBusinessGAS,事業利益又は事業損失（△）、ガス事業,Profit (loss) on core business,Profit (loss) on core business - GAS
171,jppfs_cor:MiscellaneousOperatingRevenueAbstractGAS,営業雑収益、ガス事業 [タイトル項目],Miscellaneous operating revenue,Miscellaneous operating revenue-GAS [abstract]
172,jppfs_cor:RevenueFromInstallationWorkGAS,受注工事収益、ガス事業,Revenue from installation work,Revenue from installation work-GAS
173,jppfs_cor:RevenueFromGasApplianceSalesGAS,器具販売収益、ガス事業,Revenue from gas appliance sales,Revenue from gas appliance sales-GAS
174,jppfs_cor:OtherMiscellaneousOperatingRevenueGAS,その他営業雑収益、ガス事業,Other miscellaneous operating revenue,Other miscellaneous operating revenue-GAS
175,jppfs_cor:MiscellaneousOperatingRevenueGAS,営業雑収益、ガス事業,Miscellaneous operating revenue,Miscellaneous operating revenue-GAS
176,jppfs_cor:MiscellaneousOperatingExpensesAbstractGAS,営業雑費用、ガス事業 [タイトル項目],Miscellaneous operating expenses,Miscellaneous operating expenses-GAS [abstract]
177,jppfs_cor:ExpensesOfInstallationWorkGAS,受注工事費用、ガス事業,Expenses of installation work,Expenses of installation work-GAS
178,jppfs_cor:OtherMiscellaneousOperatingExpensesGAS,その他営業雑費用、ガス事業,Other miscellaneous operating expenses,Other miscellaneous operating expenses - GAS
179,jppfs_cor:ExpensesOfGasApplianceSalesGAS,器具販売費用、ガス事業,Expenses of gas appliance sales,Expenses of gas appliance sales-GAS
180,jppfs_cor:OperatingMiscellaneousExpensesGAS,営業雑費用、ガス事業,Miscellaneous operating expenses,Miscellaneous operating expenses - GAS
181,jppfs_cor:RevenueForIncidentalBusinessesAbstractGAS,附帯事業収益、ガス事業 [タイトル項目],Revenue for incidental businesses,Revenue for incidental businesses-GAS [abstract]
182,jppfs_cor:RevenueFromDistrictHeatingAndCoolingBusinessGAS,熱供給収益、ガス事業,Revenue from district heating and cooling business,Revenue from district heating and cooling business-GAS
183,jppfs_cor:RevenueFromLNGSalesGAS,ＬＮＧ販売収益、ガス事業,Revenue from LNG sales,Revenue from LNG sales-GAS
184,jppfs_cor:RevenueFromOtherIncidentalBusinessesGAS,その他附帯事業収益、ガス事業,Revenue from other incidental businesses,Revenue from other incidental businesses-GAS
185,jppfs_cor:RevenueForIncidentalBusinessesGAS,附帯事業収益、ガス事業,Revenue for incidental businesses,Revenue for incidental businesses-GAS
186,jppfs_cor:ExpensesForIncidentalBusinessesAbstractGAS,附帯事業費用、ガス事業 [タイトル項目],Expenses for incidental businesses,Expenses for incidental businesses-GAS [abstract]
187,jppfs_cor:ExpensesForDistrictHeatingAndCoolingBusinessGAS,熱供給費用、ガス事業,Expenses for district heating and cooling business,Expenses for district heating and cooling business-GAS
188,jppfs_cor:ExpensesForLNGSalesGAS,ＬＮＧ販売費用、ガス事業,Expenses for LNG sales,Expenses for LNG sales-GAS
189,jppfs_cor:ExpensesForOtherIncidentalBusinessesGAS,その他附帯事業費用、ガス事業,Expenses for other incidental businesses,Expenses for other incidental businesses-GAS
190,jppfs_cor:ExpensesForIncidentalBusinessesGAS,附帯事業費用、ガス事業,Expenses for incidental businesses,Expenses for incidental businesses-GAS
191,jppfs_cor:OperatingIncome,営業利益又は営業損失（△）,Operating profit (loss),Operating profit (loss)
192,jppfs_cor:NonOperatingIncomeAbstract,営業外収益 [タイトル項目],Non-operating income,Non-operating income [abstract]
193,jppfs_cor:InterestIncomeNOI,受取利息、営業外収益,Interest income,Interest income-NOI
194,jppfs_cor:InterestOnSecuritiesNOI,有価証券利息、営業外収益,Interest on securities,Interest on securities-NOI
195,jppfs_cor:DividendsIncomeNOI,受取配当金、営業外収益,Dividend income,Dividend income-NOI
196,jppfs_cor:MiscellaneousIncomeGAS,雑収入、ガス事業,Miscellaneous income,Miscellaneous income-GAS
197,jppfs_cor:NonOperatingIncome,営業外収益,Non-operating income,Non-operating income
198,jppfs_cor:NonOperatingExpensesAbstract,営業外費用 [タイトル項目],Non-operating expenses,Non-operating expenses [abstract]
199,jppfs_cor:InterestExpensesNOE,支払利息、営業外費用,Interest expenses,Interest expenses-NOE
200,jppfs_cor:InterestOnBondsNOE,社債利息、営業外費用,Interest on bonds,Interest on bonds-NOE
201,jppfs_cor:CorporateBondInterestGAS,企業債利息、ガス事業,Corporate bond interest,Corporate bond interest-GAS
202,jppfs_cor:AmortizationOfCorporateBondDiscountGAS,企業債発行差金償却、ガス事業,Amortization of corporate bond discount,Amortization of corporate bond discount-GAS
203,jppfs_cor:AmortizationOfStockIssuanceCostNOE,株式交付費償却、営業外費用,Amortization of share issuance cost,Amortization of share issuance cost-NOE
204,jppfs_cor:AmortizationOfBondIssuanceCostNOE,社債発行費償却、営業外費用,Amortization of bond issuance cost,Amortization of bond issuance cost-NOE
205,jppfs_cor:AmortizationOfCorporateBondIssuanceCostGAS,企業債発行費償却、ガス事業,Amortization of corporate bond issuance cost,Amortization of corporate bond issuance cost-GAS
206,jppfs_cor:AmortizationOfDeferredOrganizationExpensesNOE,創立費償却、営業外費用,Amortization of deferred organization expenses,Amortization of deferred organization expenses-NOE
207,jppfs_cor:AmortizationOfBusinessCommencementExpensesNOE,開業費償却、営業外費用,Amortization of business commencement expenses,Amortization of business commencement expenses-NOE
208,jppfs_cor:MiscellaneousExpensesGAS,雑支出、ガス事業,Miscellaneous expenses,Miscellaneous expenses-GAS
209,jppfs_cor:NonOperatingExpenses,営業外費用,Non-operating expenses,Non-operating expenses
210,jppfs_cor:OrdinaryIncome,経常利益又は経常損失（△）,Ordinary profit (loss),Ordinary profit (loss)
211,jppfs_cor:ExtraordinaryIncomeAbstract,特別利益 [タイトル項目],Extraordinary income,Extraordinary income [abstract]
212,jppfs_cor:GainOnSalesOfNoncurrentAssetsEI,固定資産売却益、特別利益,Gain on sales of non-current assets,Gain on sales of non-current assets-EI
213,jppfs_cor:GainOnNegativeGoodwillEI,負ののれん発生益、特別利益,Gain on bargain purchase,Gain on bargain purchase-EI
214,jppfs_cor:ReversalOfProvisionForGasHolderRepairsGAS,ガスホルダー修繕引当金戻入額、ガス事業,Reversal of provision for gas holder repairs,Reversal of provision for gas holder repairs-GAS
215,jppfs_cor:OtherEI,その他、特別利益,Other,Other-EI
216,jppfs_cor:ExtraordinaryIncome,特別利益,Extraordinary income,Extraordinary income
217,jppfs_cor:ExtraordinaryLossAbstract,特別損失 [タイトル項目],Extraordinary losses,Extraordinary losses [abstract]
218,jppfs_cor:LossOnSalesOfNoncurrentAssetsEL,固定資産売却損、特別損失,Loss on sales of non-current assets,Loss on sales of non-current assets-EL
219,jppfs_cor:ImpairmentLossEL,減損損失、特別損失,Impairment loss,Impairment loss-EL
220,jppfs_cor:LossOnDisasterEL,災害による損失、特別損失,Loss on disaster,Loss on disaster-EL
221,jppfs_cor:OtherEL,その他、特別損失,Other,Other-EL
222,jppfs_cor:ExtraordinaryLoss,特別損失,Extraordinary losses,Extraordinary losses
223,jppfs_cor:IncomeBeforeIncomeTaxes,税引前当期純利益又は税引前当期純損失（△）,Profit (loss) before income taxes,Profit (loss) before income taxes
224,jppfs_cor:IncomeTaxes,法人税等,Income taxes,Income taxes
225,jppfs_cor:IncomeTaxesCurrent,法人税、住民税及び事業税,Income taxes - current,Income taxes-current
226,jppfs_cor:IncomeTaxesDeferred,法人税等調整額,Income taxes - deferred,Income taxes-deferred
227,jppfs_cor:ProfitLoss,当期純利益又は当期純損失（△）（平成26年3月28日財規等改正後）,Profit (loss),Profit (loss) (after amendment dated 2014-03-28)
228,jppfs_cor:ProfitAttributableToAbstract,内訳、当期純利益 [タイトル項目],Profit attributable to,Profit attributable to [abstract]
229,jppfs_cor:ProfitLossAttributableToNonControllingInterests,非支配株主に帰属する当期純利益又は非支配株主に帰属する当期純損失（△）,Profit (loss) attributable to non-controlling interests,Profit (loss) attributable to non-controlling interests
230,jppfs_cor:ProfitLossAttributableToOwnersOfParent,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）,Profit (loss) attributable to owners of parent,Profit (loss) attributable to owners of parent
231,nan,,,
232,nan,,,
233,名前空間プレフィックス:要素名,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
234,jppfs_cor:StatementOfChangesInEquityAbstract,株主資本等変動計算書 [タイトル項目],Statement of changes in equity,Statement of changes in equity [abstract]
